sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
3375,Kamal Dev,KORBA,Bhartiya Shakti Chetna Party,0,8th Pass,"Rs 10,37,500","Rs 15,00,000","Rs 10,37,500","Rs 10,37,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4590
3376,Kamal Kant Sharma,MATHURA,IND,0,Graduate,"Rs 18,00,372 ~ 18 Lacs+",Rs 0 ~,"Rs 18,00,372","Rs 18,00,372",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3074
3377,Kamal Kumar Bairwa,KOTA,IND,1,10th Pass,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,"Rs 25,000","Rs 25,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2566
3378,Kamal Kumar Barara,AMBALA (SC),Aazad Samaj Party (Kanshi Ram),0,12th Pass,"Rs 2,35,057",Nil,"Rs 2,35,057","Rs 2,40,255",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8415
3379,Kamal Kumar Verma (Bhasaur),SANGRUR,Adarsh Janta Party,0,10th Pass,"Rs 33,26,000 ~ 33 Lacs+","Rs 8,00,000 ~ 8 Lacs+","Rs 3,26,000","Rs 3,26,000","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8917
3380,Kamal Pawar,LUDHIANA,IND,0,Others,"Rs 26,96,000 ~ 26 Lacs+","Rs 9,50,000 ~ 9 Lacs+","Rs 1,96,000","Rs 1,96,000","Rs 25,00,000","Rs 25,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9167
3381,Kamal Prasad,GIRIDIH,BSP,0,Graduate,"Rs 4,89,32,607","Rs 39,55,529","Rs 2,06,32,607.45","Rs 2,06,32,507.45","Rs 2,83,00,000","Rs 2,83,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8522
3382,Kamalakannan M,KALLAKURICHI,IND,0,Post Graduate,"Rs 34,99,000 ~ 34 Lacs+",Rs 0 ~,"Rs 11,84,000","Rs 11,84,000","Rs 23,15,000","Rs 23,15,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=845
3383,Kamalesh Barman,COOCH BEHAR (SC),IND,0,12th Pass,"Rs 10,04,067 ~ 10 Lacs+","Rs 3,00,000 ~ 3 Lacs+","Rs 10,04,067","Rs 10,04,067",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=958
3384,Kamalesh Mahata,MEDINIPUR,IND,4,10th Pass,"Rs 44,76,586",Nil,"Rs 10,76,586","Rs 10,76,586","Rs 34,00,000","Rs 34,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7951
3385,Kamaljeet Kaur,FATEHGARH SAHIB (SC),IND,0,Literate,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,Nil,"Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8864
3386,Kamaljeet Sehrawat,WEST DELHI,BJP,0,Post Graduate,"Rs 14,74,36,650 ~ 14 Crore+","Rs 1,18,57,294 ~ 1 Crore+","Rs 2,64,61,650","Rs 2,64,61,650","Rs 12,09,75,000","Rs 12,09,75,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7909
3387,Kamaljit Singh Brar,LUDHIANA,IND,0,12th Pass,"Rs 3,11,49,904","Rs 48,01,093",Rs 0,"Rs 2,46,49,904",Nil,"Rs 65,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9184
3388,Kamant Machhindra Gunwantrao,LATUR (SC),Bahujan Bharat Party,0,Post Graduate,"Rs 10,83,36,270 ~ 10 Crore+","Rs 1,51,60,555 ~ 1 Crore+","Rs 1,16,46,770","Rs 1,16,49,770","Rs 9,66,89,500","Rs 9,66,89,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4898
3389,Kamashevar Pra. Verma,DHANBAD,IND,0,Post Graduate,"Rs 14,60,000 ~ 14 Lacs+","Rs 1,50,000 ~ 1 Lacs+","Rs 14,60,000","Rs 14,60,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8484
3390,Kamble Maroti Dasharath,JALNA,IND,0,12th Pass,"Rs 17,72,000","Rs 70,692","Rs 2,72,000","Rs 2,72,000","Rs 15,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6910
3391,Kamble Maruti Aparai,MAVAL,IND,0,10th Pass,"Rs 46,84,000 ~ 46 Lacs+",Rs 0 ~,"Rs 14,84,000","Rs 14,84,000","Rs 32,00,000","Rs 32,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6526
3392,Kamble Milind,PUNE,Bahujan Samaj Party (Ambedkar),0,Graduate,"Rs 21,02,792 ~ 21 Lacs+","Rs 35,000 ~ 35 Thou+","Rs 6,02,792","Rs 5,97,792","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6071
3393,Kamble Ravindra Tukaram,HATKANANGALE,BSP,0,12th Pass,"Rs 2,78,200","Rs 3,75,000","Rs 2,78,200","Rs 2,78,200",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3846
3394,Kamble Shivaji Devaji,PARBHANI,IND,0,10th Pass,"Rs 45,52,000 ~ 45 Lacs+",Rs 0 ~,"Rs 52,000","Rs 52,000","Rs 45,00,000","Rs 45,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2424
3395,Kamble Trimbak Narayan,SHIRUR,Baliraja Party,1,8th Pass,"Rs 4,50,000 ~ 4 Lacs+","Rs 3,20,000 ~ 3 Lacs+","Rs 4,50,000","Rs 4,50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6847
3396,Kamble Trishala,BARAMATI,Bahujan Samaj Party (Ambedkar),0,12th Pass,"Rs 20,18,792","Rs 2,08,000","Rs 5,18,792","Rs 6,47,792","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3380
3397,Kamdeo Diho Rana,CHATRA,Rashtriya Jan Utkarsh Party,0,Post Graduate,"Rs 1,60,50,000 ~ 1 Crore+","Rs 12,00,000 ~ 12 Lacs+","Rs 15,50,000","Rs 42,50,000","Rs 1,45,00,000","Rs 1,45,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7794
3398,Kameshwar Baitha,PALAMU (SC),BSP,2,8th Pass,"Rs 44,00,000 ~ 44 Lacs+",Rs 0 ~,"Rs 21,00,000","Rs 21,00,000","Rs 23,00,000","Rs 23,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6256
3399,Kameshwar Prasad Saw,RANCHI,IND,0,Others,"Rs 4,13,933",Nil,"Rs 13,933","Rs 13,933","Rs 4,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8717
3400,Kameswar Swargiary,SONITPUR,Voters Party International,0,8th Pass,"Rs 1,04,743 ~ 1 Lacs+",Rs 0 ~,"Rs 1,04,743","Rs 1,04,743",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=743
3401,Kamishnar Murmu,DUMKA (ST),IND,0,10th Pass,"Rs 7,90,000 ~ 7 Lacs+",Rs 0 ~,"Rs 2,50,000","Rs 2,50,000","Rs 5,40,000","Rs 5,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9317
3402,Kamlakar Balasaheb Gaikwad,NASHIK,Dalit Soshit Pichhara Varg Adhikar Dal,0,10th Pass,"Rs 31,10,400","Rs 4,00,000","Rs 8,41,000","Rs 10,47,852","Rs 22,69,400","Rs 22,69,400",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7435
3403,Kamlesh,MACHHLISHAHR (SC),Azad Samaj Party,0,8th Pass,"Rs 11,22,000 ~ 11 Lacs+",Rs 0 ~,"Rs 2,22,000","Rs 2,22,000","Rs 9,00,000","Rs 9,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8092
3404,Kamlesh Dayabhai Vyas,MUMBAI NORTH,Sardar Vallabhbhai Patel Party,0,12th Pass,"Rs 52,70,000 ~ 52 Lacs+",Rs 0 ~,"Rs 2,70,000","Rs 2,70,000","Rs 50,00,000","Rs 40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7830
3405,Kamlesh Jangde,JANJGIR-CHAMPA (SC),BJP,0,Post Graduate,"Rs 1,54,62,143","Rs 13,79,947","Rs 64,62,143","Rs 64,17,343","Rs 90,00,000","Rs 60,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3677
3406,Kamlesh Kumar,KHAJURAHO,BSP,0,12th Pass,"Rs 92,10,000 ~ 92 Lacs+","Rs 10,00,000 ~ 10 Lacs+","Rs 37,10,000","Rs 37,10,000","Rs 55,00,000","Rs 55,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2054
3407,Kamlesh Kumar Gour,VIDISHA,Jai Prakash Janata Dal,0,Post Graduate,"Rs 27,20,000 ~ 27 Lacs+",Rs 0 ~,"Rs 8,60,000","Rs 8,60,000","Rs 18,60,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3725
3408,Kamlesh Kumar Jha,SOUTH DELHI,IND,0,Others,"Rs 1,03,60,000",Nil,"Rs 3,60,000","Rs 3,60,000","Rs 1,00,00,000","Rs 1,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8322
3409,Kamlesh Kumar Singh,FATEHPUR,Parivartan Samaj Party,0,12th Pass,"Rs 4,70,00,000 ~ 4 Crore+",Rs 0 ~,"Rs 7,50,000","Rs 7,55,000","Rs 4,62,50,000","Rs 5,10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7603
3410,Kamlesh Paswan,BANSGAON (SC),BJP,9,Graduate,"Rs 36,18,30,259 ~ 36 Crore+","Rs 3,52,83,210 ~ 3 Crore+","Rs 13,99,90,759","Rs 13,99,91,241","Rs 22,18,39,500","Rs 22,18,39,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8799
3411,Kamleshbhai Popatbhai Patel,KHEDA,Bhartiya Jan Parishad,0,10th Pass,"Rs 56,86,000","Rs 39,00,000","Rs 6,86,000","Rs 7,26,000",Nil,"Rs 50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4300
3412,Kamleshwar Indrajit Kumar,SIDHI,INC,3,Graduate Professional,"Rs 39,02,56,920 ~ 39 Crore+","Rs 10,46,95,579 ~ 10 Crore+","Rs 7,31,71,920","Rs 7,31,71,920","Rs 31,70,85,000","Rs 26,07,10,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2
3413,Kammari Anandeeshwar,ZAHIRABAD,IND,3,Graduate,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,"Rs 70,000","Rs 70,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5650
3414,Kampa Borgoyari,KOKRAJHAR (ST),Bodoland Peoples Front,0,Graduate,"Rs 24,84,80,477","Rs 7,61,74,084","Rs 18,93,53,237","Rs 18,93,53,258","Rs 5,91,27,240","Rs 5,91,27,240",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4747
3415,Kamran,SAHARANPUR,IND,0,10th Pass,"Rs 18,27,500 ~ 18 Lacs+",Rs 0 ~,"Rs 3,27,500","Rs 3,27,500","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=907
3416,Kana Ram,GANGANAGAR (SC),IND,0,8th Pass,"Rs 5,54,000 ~ 5 Lacs+",Rs 0 ~,"Rs 1,04,000","Rs 1,04,000","Rs 4,50,000","Rs 4,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=410
3417,Kanak Manjari Rath,KANDHAMAL,IND,0,5th Pass,"Rs 70,60,000",Nil,"Rs 4,60,000","Rs 5,72,000","Rs 66,00,000","Rs 66,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7684
3418,Kanakaiah Mulkala,PEDDAPALLE (SC),Socialist Party (India),0,Graduate Professional,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,"Rs 5,000","Rs 5,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5948
3419,Kanchan Mala,KHAGARIA,Hindustan Peoples Party (Democratic),0,10th Pass,"Rs 3,42,600 ~ 3 Lacs+",Rs 0 ~,Nil,"Rs 3,42,600",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4044
3420,Kanchan Vinayak Vakhare,BHIWANDI,New Rashtriya Samaj Party,0,12th Pass,"Rs 4,07,18,073","Rs 9,00,000","Rs 19,18,073","Rs 19,18,073",Rs 0,"Rs 3,88,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7778
3421,Kanchan Yadav,FAIZABAD,Moulik Adhikar Party,0,Post Graduate,"Rs 3,18,77,652 ~ 3 Crore+","Rs 35,84,000 ~ 35 Lacs+","Rs 26,16,052","Rs 26,10,052","Rs 2,92,61,600","Rs 2,92,61,600",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7632
3422,Kanchana R,CHENNAI SOUTH,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,"Rs 7,76,700 ~ 7 Lacs+","Rs 18,50,000 ~ 18 Lacs+","Rs 7,76,700","Rs 8,28,700",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1108
3423,Kancharla Krishna Reddy,NALGONDA,BRS,0,Post Graduate,"Rs 85,28,29,033",Nil,"Rs 1,62,29,033","Rs 1,62,29,033","Rs 83,66,00,000","Rs 83,66,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5244
3424,Kanchhedi Lal Kushwaha,GUNA,Mahanwadi Party,0,Literate,"Rs 35,95,000 ~ 35 Lacs+",Rs 0 ~,"Rs 2,95,000","Rs 2,95,000","Rs 33,00,000","Rs 33,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4177
3425,Kandadi. Manipal Reddy,BHONGIR,Telangana Republican Party,0,Graduate,"Rs 2,10,95,700 ~ 2 Crore+","Rs 5,20,000 ~ 5 Lacs+","Rs 10,95,700","Rs 10,95,700","Rs 2,00,00,000","Rs 2,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5425
3426,Kandalli Mahesh,CHAMARAJANAGAR (SC),Karnataka Rashtra Samithi,0,Post Graduate,"Rs 11,37,926","Rs 1,55,103","Rs 2,87,926","Rs 2,87,926","Rs 8,50,000","Rs 8,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1878
3427,Kandasamy A M,NAMAKKAL,IND,0,8th Pass,"Rs 15,71,000 ~ 15 Lacs+","Rs 5,00,000 ~ 5 Lacs+","Rs 7,71,000","Rs 7,71,000","Rs 8,00,000","Rs 8,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1597
3428,Kandasamy P,NAMAKKAL,IND,0,5th Pass,"Rs 15,40,000 ~ 15 Lacs+",Rs 0 ~,"Rs 15,40,000","Rs 16,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1602
3429,Kandavalli Jeeva Deva Dayakar,ELURU,IND,0,Others,"Rs 11,55,300",Nil,"Rs 3,55,300","Rs 3,55,300","Rs 8,00,000","Rs 8,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6107
3430,Kande. Ramaraju,BHONGIR,IND,0,Graduate,"Rs 55,000 ~ 55 Thou+",Rs 0 ~,"Rs 55,000","Rs 55,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7047
3431,Kandela Suman,NIZAMABAD,Dharma Samaj Party,0,Graduate,"Rs 8,25,000 ~ 8 Lacs+","Rs 2,50,000 ~ 2 Lacs+","Rs 5,75,000","Rs 5,75,000","Rs 2,50,000","Rs 2,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5586
3432,Kandi Chandu,PEDDAPALLE (SC),Rashtriya Manav Party,0,10th Pass,"Rs 1,000",Nil,"Rs 1,000","Rs 1,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5936
3433,Kandikekar Srinivas,CHEVELLA,IND,0,12th Pass,"Rs 17,30,000 ~ 17 Lacs+","Rs 8,20,000 ~ 8 Lacs+","Rs 14,30,000","Rs 2,94,610",Nil,"Rs 3,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7077
3434,Kandregula Narasimham,KAKINADA,BSP,0,Graduate Professional,"Rs 25,000 ~ 25 Thou+","Rs 2,00,000 ~ 2 Lacs+","Rs 25,000","Rs 25,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6171
3435,Kangna Ranaut,MANDI,BJP,8,12th Pass,"Rs 91,66,31,239","Rs 17,38,86,641","Rs 28,73,44,239","Rs 28,73,44,238","Rs 62,92,87,000","Rs 62,92,87,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8764
3436,Kanhaiya Kumar,SHEOHAR,IND,0,Post Graduate,"Rs 63,20,000 ~ 63 Lacs+",Rs 0 ~,"Rs 3,20,000","Rs 3,20,000","Rs 60,00,000","Rs 60,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7887
3437,Kanhaiya Kumar,NORTH EAST DELHI,INC,6,Doctorate,"Rs 10,72,966 ~ 10 Lacs+",Rs 0 ~,"Rs 8,07,966","Rs 8,07,966","Rs 2,65,000","Rs 2,65,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7902
3438,Kanhaiya Lal Meena,DAUSA (ST),BJP,0,12th Pass,"Rs 7,39,78,619",Nil,"Rs 24,78,619","Rs 24,78,619","Rs 7,15,00,000","Rs 7,15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=400
3439,Kanhaiya Lal Yadav,NALANDA,Jagrook Janta Party,0,Graduate,"Rs 9,75,000 ~ 9 Lacs+","Rs 3,65,409 ~ 3 Lacs+","Rs 9,75,000","Rs 7,55,563",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9473
3440,Kanhaiyalal Malviya,MANDSOUR,BSP,0,Graduate,"Rs 3,45,64,900 ~ 3 Crore+","Rs 3,65,049 ~ 3 Lacs+","Rs 35,64,900","Rs 35,64,900","Rs 3,10,00,000","Rs 3,10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6419
3441,Kanhi Lal,NORTH EAST DELHI,Swatantra Jantaraj Party,0,Graduate Professional,"Rs 48,38,925",Nil,"Rs 8,38,925","Rs 8,38,925","Rs 40,00,000","Rs 40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8227
3442,Kanhu Charan Tudu,MAYURBHANJ (ST),IND,0,Post Graduate,"Rs 3,54,43,366 ~ 3 Crore+","Rs 48,57,588 ~ 48 Lacs+","Rs 42,43,365.70","Rs 42,43,365.70","Rs 3,12,00,000","Rs 3,12,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9396
3443,Kanimozhi G,NAMAKKAL,Naam Tamilar Katchi,0,Graduate Professional,"Rs 30,19,000 ~ 30 Lacs+","Rs 4,55,000 ~ 4 Lacs+","Rs 28,52,000","Rs 28,52,000","Rs 1,67,000","Rs 1,67,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=162
3444,Kanimozhi Karunanidhi,THOOTHUKKUDI,DMK,2,Graduate,"Rs 60,40,56,590","Rs 60,60,187","Rs 39,59,83,040","Rs 40,00,94,545.09","Rs 20,80,73,550","Rs 20,80,73,550",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=566
3445,Kaniya Lal (Dr. Kishan Kumar),LUDHIANA,IND,0,Post Graduate,"Rs 3,100 ~ 3 Thou+",Rs 0 ~,Rs 0,"Rs 3,100",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9169
3446,Kanji Lal Damor,UDAIPUR (ST),IND,0,8th Pass,"Rs 12,02,954 ~ 12 Lacs+",Rs 0 ~,"Rs 1,02,954","Rs 1,02,954","Rs 11,00,000","Rs 11,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2883
3447,Kankar Munjare,BALAGHAT,BSP,5,Others,"Rs 5,20,07,325","Rs 22,00,000","Rs 94,57,325","Rs 94,57,551.95","Rs 4,25,50,000","Rs 4,22,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=569
3448,Kannan G,THOOTHUKKUDI,IND,0,Graduate Professional,"Rs 10,28,731 ~ 10 Lacs+",Rs 0 ~,"Rs 6,731","Rs 6,731",Nil,"Rs 10,22,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1739
3449,Kannan K,CHENNAI SOUTH,IND,0,Graduate Professional,"Rs 14,21,300 ~ 14 Lacs+",Rs 0 ~,"Rs 14,21,300","Rs 14,21,300",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1104
3450,Kannan M,TIRUPPUR,IND,0,Graduate Professional,"Rs 13,10,351",Nil,"Rs 13,10,351","Rs 13,10,351.12",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1479
3451,Kannan. T,KARUR,IND,0,Graduate Professional,"Rs 4,46,590 ~ 4 Lacs+","Rs 2,00,000 ~ 2 Lacs+","Rs 4,46,590","Rs 4,46,590",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1272
3452,Kanneboyina Vamsi Krishna Yadav,GUNTUR,IND,0,Graduate Professional,"Rs 11,59,000 ~ 11 Lacs+","Rs 4,84,603 ~ 4 Lacs+",Rs 0,"Rs 11,59,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6130
3453,Kanoje Prakash Girdhari,NASHIK,IND,0,12th Pass,"Rs 12,73,237","Rs 20,000","Rs 4,73,237","Rs 4,73,237","Rs 8,00,000","Rs 8,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7431
3454,Kanta Minj,SURGUJA (ST),Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 34,85,000 ~ 34 Lacs+","Rs 16,02,000 ~ 16 Lacs+","Rs 19,85,000","Rs 20,15,000","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4080
3455,Kante Sayanna,MALKAJGIRI,IND,0,Post Graduate,"Rs 3,06,80,000 ~ 3 Crore+",Rs 0 ~,"Rs 6,80,000","Rs 6,80,000","Rs 3,00,00,000","Rs 3,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7008
3456,Kanthakumar.R.,BANGALORE SOUTH,IND,4,Graduate Professional,"Rs 7,14,000","Rs 35,00,000","Rs 7,14,000","Rs 7,14,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2360
3457,Kanthappa Alangar,DAKSHINA KANNADA,BSP,0,12th Pass,"Rs 1,11,48,412 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+","Rs 78,97,662","Rs 78,97,661","Rs 32,50,750","Rs 37,51,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2636
3458,Kantilal Bhuria,RATLAM (ST),INC,1,Post Graduate,"Rs 8,78,49,072 ~ 8 Crore+","Rs 10,94,000 ~ 10 Lacs+","Rs 2,15,74,072","Rs 2,15,74,072","Rs 6,62,75,000","Rs 6,62,75,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6431
3459,Kantilal Kisan Jadhav,NASHIK,Ambedkarite Party of India,0,12th Pass,"Rs 5,77,536","Rs 1,00,000","Rs 27,536","Rs 27,536",Rs 0,"Rs 5,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7433
3460,Kantiya Dasrath Harjivanbhai,KHEDA,New India United Party,0,8th Pass,"Rs 25,09,000 ~ 25 Lacs+","Rs 9,50,000 ~ 9 Lacs+","Rs 5,09,000","Rs 5,09,000",Nil,"Rs 20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4566
3461,Kanubhai Khimjibhai Gadhavi,SABARKANTHA,IND,1,12th Pass,"Rs 45,71,000 ~ 45 Lacs+","Rs 6,00,000 ~ 6 Lacs+","Rs 10,71,000","Rs 10,71,000","Rs 35,00,000","Rs 35,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4325
3462,Kanwal Singh Baghel,BASTAR (ST),Rashtriya Jansabha Party,0,Graduate Professional,"Rs 3,20,65,044",Nil,"Rs 5,22,044","Rs 5,22,044","Rs 3,15,43,000","Rs 1,90,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=269
3463,Kanwaljit Singh,KHADOOR SAHIB,IND,0,10th Pass,"Rs 64,000 ~ 64 Thou+","Rs 28,300 ~ 28 Thou+","Rs 64,000","Rs 64,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9160
3464,Kanwar Singh Tanwar,AMROHA,BJP,1,8th Pass,"Rs 2,14,79,33,326 ~ 214 Crore+","Rs 1,98,97,537 ~ 1 Crore+","Rs 24,69,98,326","Rs 24,69,98,326","Rs 1,90,09,35,000","Rs 1,90,09,35,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1807
3465,Kanzariya Ranchhodbhai Naranbhai,JAMNAGAR,Viro Ke Vir Indian Party,0,10th Pass,"Rs 17,89,095","Rs 1,25,000","Rs 12,94,095","Rs 12,94,094","Rs 4,95,000","Rs 4,95,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4265
3466,Kapa Kalyan,AMALAPURAM (SC),Republican Party of India (A),0,Post Graduate,"Rs 6,20,000 ~ 6 Lacs+",Rs 0 ~,"Rs 6,20,000","Rs 6,20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5819
3467,Kapanigowda,TUMKUR,IND,0,Graduate Professional,"Rs 27,30,000 ~ 27 Lacs+",Rs 0 ~,"Rs 90,000","Rs 90,000","Rs 26,40,000","Rs 26,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2008
3468,Kapil Chauhan,JAHANABAD,Jan Janwadi Party,0,Literate,"Rs 61,69,500",Nil,"Rs 1,69,500","Rs 1,69,500","Rs 60,00,000","Rs 60,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9592
3469,Kapil Gupta Bhartiya,KHAJURAHO,Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 12,26,000 ~ 12 Lacs+","Rs 3,08,000 ~ 3 Lacs+","Rs 12,26,000","Rs 12,26,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2459
3470,Kapil Jayhind Patil,BHIWANDI,IND,0,8th Pass,"Rs 29,72,020 ~ 29 Lacs+",Rs 0 ~,"Rs 29,72,020","Rs 29,72,020",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7775
3471,Kapil Marwah,WEST DELHI,IND,1,Graduate,"Rs 4,45,56,775","Rs 12,91,850","Rs 25,56,775","Rs 25,56,775","Rs 4,20,00,000","Rs 4,20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8304
3472,Kapil Mohan Chowdhary,LUCKNOW,Mera Adhikaar Rashtriya Dal,2,Graduate,"Rs 2,55,16,988 ~ 2 Crore+","Rs 2,82,500 ~ 2 Lacs+","Rs 10,16,987.58","Rs 10,16,987.58","Rs 2,45,00,000","Rs 2,45,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7649
